"Country","Year","Period","level1_code","mean_cover","sd"
"Kenya",2013,"Pre","SC",0.863636363636364,1.26275312493989
"Kenya",2013,"Pre","SGR",1.38181818181818,2.22567660805346
"Kenya",2013,"Pre","SND",2.34545454545455,5.24373218926437
"Kenya",2013,"Pre","SPG",1.92222222222222,1.02198064778373
"Kenya",2014,"Pre","ACOR",5.36148589666667,4.64078940031597
"Kenya",2014,"Pre","AHAL",1.43434978525,1.44005971778496
"Kenya",2014,"Pre","AMAC",15.120979161,14.0801575315965
"Kenya",2014,"Pre","ATRF",32.1486071323846,17.2346506229382
"Kenya",2014,"Pre","DC",3.8175824175,2.09645505027184
"Kenya",2014,"Pre","HC",21.3822826615385,14.3234311801744
"Kenya",2014,"Pre","INV",0.15,0.151657508881031
"Kenya",2014,"Pre","RUB",11.54968047,17.1148375891108
"Kenya",2014,"Pre","SC",7.36272727272727,10.7584702359667
"Kenya",2014,"Pre","SGR",4.66445892958333,7.70318038548678
"Kenya",2014,"Pre","SND",8.66733362307692,9.22044921342755
"Kenya",2014,"Pre","SPG",0.75,1.06066017177982
"Kenya",2015,"Pre","ACOR",9,5.46900356555013
"Kenya",2015,"Pre","AHAL",3,2.02072594216369
"Kenya",2015,"Pre","AMAC",7.47142857142857,5.71305939222127
"Kenya",2015,"Pre","ATRF",10.8142857142857,14.617618202182
"Kenya",2015,"Pre","BS",13.3833333333333,11.1881038012108
"Kenya",2015,"Pre","DC",4.4,6.22253967444162
"Kenya",2015,"Pre","HC",20.2285714285714,10.4060422008425
"Kenya",2015,"Pre","RDC",0,0
"Kenya",2015,"Pre","RUB",35.0428571428571,16.8277407022707
"Kenya",2015,"Pre","SC",0,NA
"Kenya",2015,"Pre","SGR",8.4,NA
"Kenya",2015,"Pre","SND",1.8,NA
"Kenya",2016,"Pre","ACOR",1,0
"Kenya",2016,"Pre","AHAL",2.95,4.17193000900063
"Kenya",2016,"Pre","ATRF",28.25,37.1231060122937
"Kenya",2016,"Pre","BS",0,0
"Kenya",2016,"Pre","DC",0,0
"Kenya",2016,"Pre","HC",43.05,18.8797510576808
"Kenya",2016,"Pre","RUB",0.5,0.707106781186548
"Kenya",2016,"Post","",7.2,9.61665222413705
"Kenya",2016,"Post","ACOR",3.65666666666667,4.15092459579791
"Kenya",2016,"Post","AHAL",14.0525,14.8198214274956
"Kenya",2016,"Post","AMAC",11.2781818181818,11.7707202992696
"Kenya",2016,"Post","ATRF",5.13,4.69714097439425
"Kenya",2016,"Post","BS",11.7227272727273,8.85375410874855
"Kenya",2016,"Post","DC",3.22363636363636,2.19963302724465
"Kenya",2016,"Post","HC",27.3881818181818,9.18538493279603
"Kenya",2016,"Post","RUB",13.5918181818182,8.46451276587355
"Kenya",2016,"Post","SC",1.48888888888889,1.35978347949632
"Kenya",2016,"Post","SGR",8.78,7.9433897046538
"Kenya",2016,"Post","SND",7.10636363636364,3.22801571473025
"Kenya",2016,"Post","SPG",0.775714285714286,0.640985104945431
"Kenya",2017,"Post","ACOR",0.436315789473684,0.771932715305592
"Kenya",2017,"Post","AHAL",7.42,8.92694112099871
"Kenya",2017,"Post","ALG",1.62333333333333,2.34350876536303
"Kenya",2017,"Post","AMAC",13.1863157894737,12.7821299783575
"Kenya",2017,"Post","ATRF",19.48,13.8729348813516
