"COUNTRY","NAP","Transect_ID","YEAR","benthic_cover","mean_cover","sd","samples","benthic_code","Organization","Period","Source"
"Madagascar","Ankivonjy","Madiro_17",2017,"Coral",50,21.1829636434081,40,"HC","WCS Madagascar","Post","New"
"Madagascar","Ankivonjy","Madiro_17",2017,"Soft coral",7.45,9.33411168915613,40,"SC","WCS Madagascar","Post","New"
"Madagascar","Ankivonjy","Madiro_17",2017,"Algae-macro/fleshy",13.975,12.8810883040773,40,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Ankivonjy","Marotogny_20",2016,"Coral",43.8235294117647,27.9804290847139,17,"HC","WCS Madagascar","Pre","New"
"Madagascar","Ankivonjy","Marotogny_20",2016,"Soft coral",3.52941176470588,6.55855974146405,17,"SC","WCS Madagascar","Pre","New"
"Madagascar","Ankivonjy","Marotogny_20",2016,"Algae-macro/fleshy",10,11.9895788082818,17,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Ankivonjy","Marotogny_20",2017,"Coral",52.25,22.7288927161568,40,"HC","WCS Madagascar","Post","New"
"Madagascar","Ankivonjy","Marotogny_20",2017,"Soft coral",4.95,10.238063719178,40,"SC","WCS Madagascar","Post","New"
"Madagascar","Ankivonjy","Marotogny_20",2017,"Algae-macro/fleshy",18.575,16.979455912276,40,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Ankivonjy","Plateau_13",2016,"Coral",19.0625,8.79749017239197,16,"HC","WCS Madagascar","Pre","New"
"Madagascar","Ankivonjy","Plateau_13",2016,"Soft coral",13.125,15.2616076042685,16,"SC","WCS Madagascar","Pre","New"
"Madagascar","Ankivonjy","Plateau_13",2016,"Algae-macro/fleshy",0,0,16,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Ankivonjy","Plateau_13",2017,"Coral",27.325,23.0065626088932,40,"HC","WCS Madagascar","Post","New"
"Madagascar","Ankivonjy","Plateau_13",2017,"Soft coral",22.475,17.9586240978305,40,"SC","WCS Madagascar","Post","New"
"Madagascar","Ankivonjy","Plateau_13",2017,"Algae-macro/fleshy",16.7,22.1164748895131,40,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Andra_06",2017,"Coral",12.6,11.7401694599085,20,"HC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Andra_06",2017,"Soft coral",64.5,19.4922386713546,20,"SC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Andra_06",2017,"Algae-macro/fleshy",14,10.5081422064787,20,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Andravona_08",2016,"Coral",35,24.4162619201598,14,"HC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Andravona_08",2016,"Soft coral",34.6428571428571,24.3740313980557,14,"SC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Andravona_08",2016,"Algae-macro/fleshy",0,0,14,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Andravona_08",2017,"Coral",7.05,6.21945165970188,20,"HC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Andravona_08",2017,"Soft coral",33.35,26.5434598942545,20,"SC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Andravona_08",2017,"Algae-macro/fleshy",28.6,17.0553279219813,20,"AMAC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Andravona_12",2016,"Coral",67,28.2055944017416,10,"HC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Andravona_12",2016,"Soft coral",22.5,21.8898758942728,10,"SC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Andravona_12",2016,"Algae-macro/fleshy",0,0,10,"AMAC","WCS Madagascar","Pre","New"
"Madagascar","Soariake","Andravona_12",2017,"Coral",31.75,24.1854131766715,20,"HC","WCS Madagascar","Post","New"
"Madagascar","Soariake","Andravona_12",2017,"Soft coral",31,23.5416763701269,20,"SC","WCS Madagascar","Post","New"
