"Country","Year","Sector","Site","Station","Reef.zone","benthic_name2","benthic_code","mean_cover","sd","Organization","Period","Source"
"Tanzania",2000,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",20,NA,"","Pre","GCRMN"
"Tanzania",2000,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",30,NA,"","Pre","GCRMN"
"Tanzania",2000,NA,"Zanzibar","Kwale",NA,"Coral","HC",14,NA,"","Pre","GCRMN"
"Tanzania",2000,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",1,NA,"","Pre","GCRMN"
"Tanzania",2000,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN"
"Tanzania",1999,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",4,NA,"","Pre","GCRMN"
"Tanzania",1999,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",37,NA,"","Pre","GCRMN"
"Tanzania",1999,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",22,NA,"","Pre","GCRMN"
"Tanzania",1999,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",11,NA,"","Pre","GCRMN"
"Tanzania",1999,NA,"Zanzibar","Kwale",NA,"Coral","HC",22,NA,"","Pre","GCRMN"
"Tanzania",1999,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN"
"Tanzania",1999,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",1,NA,"","Pre","GCRMN"
"Tanzania",1998,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",5,NA,"","Pre","GCRMN"
"Tanzania",1998,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",41,NA,"","Pre","GCRMN"
"Tanzania",1998,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",21,NA,"","Pre","GCRMN"
"Tanzania",1998,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",11,NA,"","Pre","GCRMN"
"Tanzania",1998,NA,"Zanzibar","Kwale",NA,"Coral","HC",20,NA,"","Pre","GCRMN"
"Tanzania",1998,NA,"Zanzibar","Kwale",NA,"Soft coral","SC",0,NA,"","Pre","GCRMN"
"Tanzania",1998,NA,"Zanzibar","Kwale",NA,"Spongy","SPG",0,NA,"","Pre","GCRMN"
"Tanzania",1997,NA,"Zanzibar","Kwale",NA,"Algae-coralline","ACOR",0,NA,"","Pre","GCRMN"
"Tanzania",1997,NA,"Zanzibar","Kwale",NA,"Algae-macro/fleshy","AMAC",16,NA,"","Pre","GCRMN"
"Tanzania",1997,NA,"Zanzibar","Kwale",NA,"Bare substrate","BS",46,NA,"","Pre","GCRMN"
"Tanzania",1997,NA,"Zanzibar","Kwale",NA,"Dead Standing coral","DC",5,NA,"","Pre","GCRMN"
"Tanzania",1997,NA,"Zanzibar","Kwale",NA,"Coral","HC",29,NA,"","Pre","GCRMN"
