"Country","Year","Sector","Site","Station","Reef.zone","Period","site.id","FA","HC"
"Kenya",2008,NA,"Malindi","Old_Coral_Garden",NA,"Pre","Kenya_Malindi_Old_Coral_Garden",39.3,20.7
"Kenya",2008,NA,"Mombasa","Coral_Garden",NA,"Pre","Kenya_Mombasa_Coral_Garden",49.8,19.6
"Kenya",2008,NA,"Mombasa","Nyali",NA,"Pre","Kenya_Mombasa_Nyali",55.4,15.1
"Kenya",2008,NA,"Mombasa","Ras_Iwatine",NA,"Pre","Kenya_Mombasa_Ras_Iwatine",58.7,17.1
"Kenya",2009,"","Watamu","Coral_Garden",NA,"Pre","Kenya_Watamu_Coral_Garden",55,24.1
"Kenya",2009,"","Watamu","Richard_Bernets",NA,"Pre","Kenya_Watamu_Richard_Bernets",50.3,25
"Kenya",2009,NA,"Kisite","Light_house",NA,"Pre","Kenya_Kisite_Light_house",35.5,42.9
"Kenya",2009,NA,"Kisite","Mkwiro",NA,"Pre","Kenya_Kisite_Mkwiro",37.85,24.6
"Kenya",2009,NA,"Malindi","Mayunguni",NA,"Pre","Kenya_Malindi_Mayunguni",36.2,28.6
"Kenya",2009,NA,"Malindi","New_Coral_Garden",NA,"Pre","Kenya_Malindi_New_Coral_Garden",39.3,34.6
"Kenya",2009,NA,"Malindi","North_Reef",NA,"Pre","Kenya_Malindi_North_Reef",53.7,20.4
"Kenya",2009,NA,"Malindi","Old_Coral_Garden",NA,"Pre","Kenya_Malindi_Old_Coral_Garden",43.2,16.4
"Kenya",2009,NA,"Mombasa","Coral_Garden",NA,"Pre","Kenya_Mombasa_Coral_Garden",39,25.7
"Kenya",2009,NA,"Mombasa","Nyali",NA,"Pre","Kenya_Mombasa_Nyali",38.9,25.7
"Kenya",2009,NA,"Mombasa","Ras_Iwatine",NA,"Pre","Kenya_Mombasa_Ras_Iwatine",42.6,25.5
"Kenya",2009,NA,"Mombasa","Starfish",NA,"Pre","Kenya_Mombasa_Starfish",50.9,17.9
"Kenya",2010,"","Watamu","Coral_Garden",NA,"Pre","Kenya_Watamu_Coral_Garden",59.6,25.7
"Kenya",2010,"","Watamu","Richard_Bernets",NA,"Pre","Kenya_Watamu_Richard_Bernets",54.6,26.4
"Kenya",2010,NA,"Kisite","Light_house",NA,"Pre","Kenya_Kisite_Light_house",32.9,35.4
"Kenya",2010,NA,"Kisite","Mkwiro",NA,"Pre","Kenya_Kisite_Mkwiro",47.9,16.95
"Kenya",2010,NA,"Malindi","Mayunguni",NA,"Pre","Kenya_Malindi_Mayunguni",50.3,22.8
"Kenya",2010,NA,"Malindi","New_Coral_Garden",NA,"Pre","Kenya_Malindi_New_Coral_Garden",47.7,36.4
"Kenya",2010,NA,"Malindi","North_Reef",NA,"Pre","Kenya_Malindi_North_Reef",54.6,25.9
"Kenya",2010,NA,"Malindi","Old_Coral_Garden",NA,"Pre","Kenya_Malindi_Old_Coral_Garden",45.1,30.8
"Kenya",2010,NA,"Mombasa","Coral_Garden",NA,"Pre","Kenya_Mombasa_Coral_Garden",43.1,27.7
"Kenya",2010,NA,"Mombasa","Nyali",NA,"Pre","Kenya_Mombasa_Nyali",31.6,35.1
"Kenya",2010,NA,"Mombasa","Ras_Iwatine",NA,"Pre","Kenya_Mombasa_Ras_Iwatine",53,17.4
"Kenya",2010,NA,"Mombasa","Starfish",NA,"Pre","Kenya_Mombasa_Starfish",47.4,23.8
"Kenya",2010,NA,"Shimoni","Mpunguti-Upper",NA,"Pre","Kenya_Shimoni_Mpunguti-Upper",22.2,44.1
"Kenya",2010,NA,"Shimoni","Wasini_Tengefu",NA,"Pre","Kenya_Shimoni_Wasini_Tengefu",17.3,40
"Kenya",2011,"","Watamu","Coral_Garden",NA,"Pre","Kenya_Watamu_Coral_Garden",64,20.2
"Kenya",2011,"","Watamu","Richard_Bernets",NA,"Pre","Kenya_Watamu_Richard_Bernets",62.3,25.6
"Kenya",2011,NA,"Kisite","Light_house",NA,"Pre","Kenya_Kisite_Light_house",31.9,39
"Kenya",2011,NA,"Kisite","Mkwiro",NA,"Pre","Kenya_Kisite_Mkwiro",54.6,23.2
"Kenya",2011,NA,"Malindi","Mayunguni",NA,"Pre","Kenya_Malindi_Mayunguni",57.4,22.5
"Kenya",2011,NA,"Malindi","New_Coral_Garden",NA,"Pre","Kenya_Malindi_New_Coral_Garden",30.4,42.4
"Kenya",2011,NA,"Malindi","North_Reef",NA,"Pre","Kenya_Malindi_North_Reef",53.3,31.1
"Kenya",2011,NA,"Malindi","Old_Coral_Garden",NA,"Pre","Kenya_Malindi_Old_Coral_Garden",44.4,19
"Kenya",2011,NA,"Mombasa","Coral_Garden",NA,"Pre","Kenya_Mombasa_Coral_Garden",38.4,37.5
"Kenya",2011,NA,"Mombasa","Nyali",NA,"Pre","Kenya_Mombasa_Nyali",38.9,24.2
"Kenya",2011,NA,"Mombasa","Ras_Iwatine",NA,"Pre","Kenya_Mombasa_Ras_Iwatine",54.7,14.9
"Kenya",2011,NA,"Mombasa","Starfish",NA,"Pre","Kenya_Mombasa_Starfish",50.2,23
"Kenya",2011,NA,"Shimoni","Wasini_Tengefu",NA,"Pre","Kenya_Shimoni_Wasini_Tengefu",16.6,33
"Kenya",2012,"","Watamu","Coral_Garden",NA,"Pre","Kenya_Watamu_Coral_Garden",73.3,18.5
"Kenya",2012,"","Watamu","Richard_Bernets",NA,"Pre","Kenya_Watamu_Richard_Bernets",62,26
"Kenya",2012,NA,"Kisite","Mkwiro",NA,"Pre","Kenya_Kisite_Mkwiro",55.1,21.6
"Kenya",2012,NA,"Malindi","Mayunguni",NA,"Pre","Kenya_Malindi_Mayunguni",49.3,21.9
"Kenya",2012,NA,"Malindi","New_Coral_Garden",NA,"Pre","Kenya_Malindi_New_Coral_Garden",33.7,49.3
"Kenya",2012,NA,"Malindi","North_Reef",NA,"Pre","Kenya_Malindi_North_Reef",63.5,22
"Kenya",2012,NA,"Malindi","Old_Coral_Garden",NA,"Pre","Kenya_Malindi_Old_Coral_Garden",55.9,28.2
"Kenya",2012,NA,"Mombasa","Coral_Garden",NA,"Pre","Kenya_Mombasa_Coral_Garden",48.2,39.1
"Kenya",2012,NA,"Mombasa","Nyali",NA,"Pre","Kenya_Mombasa_Nyali",47.2,14.6
"Kenya",2012,NA,"Mombasa","Ras_Iwatine",NA,"Pre","Kenya_Mombasa_Ras_Iwatine",51.4,14.8
"Kenya",2012,NA,"Mombasa","Starfish",NA,"Pre","Kenya_Mombasa_Starfish",58.8,24.9
"Kenya",2012,NA,"Shimoni","Kibuyuni",NA,"Pre","Kenya_Shimoni_Kibuyuni",25.3,30.75
"Kenya",2012,NA,"Shimoni","Mpunguti-Lower",NA,"Pre","Kenya_Shimoni_Mpunguti-Lower",35.6,7.3
"Kenya",2012,NA,"Shimoni","Mpunguti-Upper",NA,"Pre","Kenya_Shimoni_Mpunguti-Upper",17.5,30.5
"Kenya",2012,NA,"Shimoni","Wasini_Tengefu",NA,"Pre","Kenya_Shimoni_Wasini_Tengefu",30.15,39.1
"Kenya",2013,"","Watamu","Coral_Garden",NA,"Pre","Kenya_Watamu_Coral_Garden",28.2,34.5
"Kenya",2013,"","Watamu","Richard_Bernets",NA,"Pre","Kenya_Watamu_Richard_Bernets",46.8,22.8
"Kenya",2013,NA,"Malindi","Mayunguni",NA,"Pre","Kenya_Malindi_Mayunguni",39.4,22.8
