"Country","Site","Station","Period","benthic_category","recent_year","no_years_benthic","recent_cover","ave_cover","cover","paste(algae_r1$Site, algae_r1$Station, sep = """")"
"Kenya","Mombasa","Ras_Iwatine","Post","FA",2016,1,13.59,13.59,13.59,"MombasaRas_Iwatine"
"Kenya","Mombasa","Ras_Iwatine","Post","HC",2016,1,30.48,30.48,30.48,"MombasaRas_Iwatine"
"Kenya","Mombasa","Starfish","Pre","FA",2013,2,29.3,44.05,44.05,"MombasaStarfish"
"Kenya","Mombasa","Starfish","Pre","HC",2013,2,25.6,25.25,25.25,"MombasaStarfish"
"Kenya","Mombasa","Starfish","Post","FA",2016,1,26.4,26.4,26.4,"MombasaStarfish"
"Kenya","Mombasa","Starfish","Post","HC",2016,1,13.37,13.37,13.37,"MombasaStarfish"
"Kenya","Shimoni","Kibuyuni","Pre","FA",2014,2,24.6,24.95,24.95,"ShimoniKibuyuni"
"Kenya","Shimoni","Kibuyuni","Pre","HC",2014,2,28.4,29.575,29.575,"ShimoniKibuyuni"
"Kenya","Shimoni","Kibuyuni","Post","FA",2017,1,11.5,11.5,11.5,"ShimoniKibuyuni"
"Kenya","Shimoni","Kibuyuni","Post","HC",2017,1,35,35,35,"ShimoniKibuyuni"
"Kenya","Shimoni","Mpunguti-Lower","Pre","FA",2014,2,36.7,36.15,36.15,"ShimoniMpunguti-Lower"
"Kenya","Shimoni","Mpunguti-Lower","Pre","HC",2014,2,16.7,12,12,"ShimoniMpunguti-Lower"
"Kenya","Shimoni","Mpunguti-Lower","Post","FA",2017,1,16.34,16.34,16.34,"ShimoniMpunguti-Lower"
"Kenya","Shimoni","Mpunguti-Lower","Post","HC",2017,1,28.33,28.33,28.33,"ShimoniMpunguti-Lower"
"Kenya","Shimoni","Wasini_Tengefu","Pre","FA",2014,3,21.7,28.85,28.85,"ShimoniWasini_Tengefu"
"Kenya","Shimoni","Wasini_Tengefu","Pre","HC",2014,3,50.1,42.1,42.1,"ShimoniWasini_Tengefu"
"Kenya","Shimoni","Wasini_Tengefu","Post","FA",2017,1,30,30,30,"ShimoniWasini_Tengefu"
"Kenya","Shimoni","Wasini_Tengefu","Post","HC",2017,1,34.65,34.65,34.65,"ShimoniWasini_Tengefu"
"Kenya","Watamu","Coral_Garden","Pre","FA",2013,2,28.2,50.75,50.75,"WatamuCoral_Garden"
"Kenya","Watamu","Coral_Garden","Pre","HC",2013,2,34.5,26.5,26.5,"WatamuCoral_Garden"
"Kenya","Watamu","Coral_Garden","Post","FA",2016,1,42,42,42,"WatamuCoral_Garden"
"Kenya","Watamu","Coral_Garden","Post","HC",2016,1,28.5,28.5,28.5,"WatamuCoral_Garden"
"Kenya","Watamu","Coral_Garden_2","Pre","FA",2014,1,75.8,75.8,75.8,"WatamuCoral_Garden_2"
"Kenya","Watamu","Coral_Garden_2","Pre","HC",2014,1,10.4,10.4,10.4,"WatamuCoral_Garden_2"
"Kenya","Watamu","Coral_Garden_2","Post","FA",2017,1,73.52,73.52,73.52,"WatamuCoral_Garden_2"
"Kenya","Watamu","Coral_Garden_2","Post","HC",2017,1,11.2,11.2,11.2,"WatamuCoral_Garden_2"
"Kenya","Watamu","Richard_Bernets","Pre","FA",2015,3,24,44.2666666666667,44.2666666666667,"WatamuRichard_Bernets"
"Kenya","Watamu","Richard_Bernets","Pre","HC",2015,3,23.5,24.1,24.1,"WatamuRichard_Bernets"
"Kenya","Watamu","Richard_Bernets","Post","FA",2016,1,34.92,34.92,34.92,"WatamuRichard_Bernets"
"Kenya","Watamu","Richard_Bernets","Post","HC",2016,1,28.79,28.79,28.79,"WatamuRichard_Bernets"
"Kenya","Watamu","Richard_Bernets_2","Pre","FA",2014,1,73.1,73.1,73.1,"WatamuRichard_Bernets_2"
"Kenya","Watamu","Richard_Bernets_2","Pre","HC",2014,1,13.5,13.5,13.5,"WatamuRichard_Bernets_2"
"Kenya","Watamu","Richard_Bernets_2","Post","FA",2017,1,72.12,72.12,72.12,"WatamuRichard_Bernets_2"
"Kenya","Watamu","Richard_Bernets_2","Post","HC",2017,1,9.21,9.21,9.21,"WatamuRichard_Bernets_2"
"Kenya","Watamu","Uyombo","Pre","FA",2014,1,57.1,57.1,57.1,"WatamuUyombo"
"Kenya","Watamu","Uyombo","Pre","HC",2014,1,11.6,11.6,11.6,"WatamuUyombo"
"Kenya","Watamu","Uyombo","Post","FA",2017,1,64.53,64.53,64.53,"WatamuUyombo"
"Kenya","Watamu","Uyombo","Post","HC",2017,1,19.17,19.17,19.17,"WatamuUyombo"
"Madagascar","Andavadoaka","Lost","Pre","FA",2016,4,56,57.55,57.55,"AndavadoakaLost"
"Madagascar","Andavadoaka","Lost","Pre","HC",2016,4,30.000000001,28.73333333375,28.73333333375,"AndavadoakaLost"
"Madagascar","Andavadoaka","Lost","Post","FA",2017,1,57.75,57.75,57.75,"AndavadoakaLost"
"Madagascar","Andavadoaka","Lost","Post","HC",2017,1,26.25,26.25,26.25,"AndavadoakaLost"
"Madagascar","Andavadoaka","Ns_Coco_Beach","Pre","FA",2016,5,24.15,32.3538095262,32.3538095262,"AndavadoakaNs_Coco_Beach"
"Madagascar","Andavadoaka","Ns_Coco_Beach","Pre","HC",2016,5,70.33,57.1561587302,57.1561587302,"AndavadoakaNs_Coco_Beach"
"Madagascar","Andavadoaka","Ns_Coco_Beach","Post","FA",2017,2,24.75,15.375,24.75,"AndavadoakaNs_Coco_Beach"
"Madagascar","Andavadoaka","Ns_Coco_Beach","Post","HC",2017,2,60.125,65.2275,60.125,"AndavadoakaNs_Coco_Beach"
