"Country","Site","Station","Period","benthic_category","recent_year","no_years_benthic","recent_cover","ave_cover","cover","paste(algae_r1$Site, algae_r1$Station, sep = """")"
"Madagascar","Andavadoaka","Recruitment_North","Pre","FA",2016,4,55.25,40.187500001,40.187500001,"AndavadoakaRecruitment_North"
"Madagascar","Andavadoaka","Recruitment_North","Pre","HC",2016,4,20.25,34.13068181925,34.13068181925,"AndavadoakaRecruitment_North"
"Madagascar","Andavadoaka","Recruitment_North","Post","FA",2017,1,48,48,48,"AndavadoakaRecruitment_North"
"Madagascar","Andavadoaka","Recruitment_North","Post","HC",2017,1,24.875,24.875,24.875,"AndavadoakaRecruitment_North"
"Madagascar","Nosy Be","Nosy_Vorona","Pre","FA",2014,1,0.46,0.46,0.46,"Nosy BeNosy_Vorona"
"Madagascar","Nosy Be","Nosy_Vorona","Pre","HC",2014,1,32.93,32.93,32.93,"Nosy BeNosy_Vorona"
"Madagascar","Nosy Be","Nosy_Vorona","Post","FA",2017,1,10.19,10.19,10.19,"Nosy BeNosy_Vorona"
"Madagascar","Nosy Be","Nosy_Vorona","Post","HC",2017,1,14.28,14.28,14.28,"Nosy BeNosy_Vorona"
"Madagascar","Nosy Be","Three_Brothers","Pre","FA",2014,1,4.98,4.98,4.98,"Nosy BeThree_Brothers"
"Madagascar","Nosy Be","Three_Brothers","Pre","HC",2014,1,51.22,51.22,51.22,"Nosy BeThree_Brothers"
"Madagascar","Nosy Be","Three_Brothers","Post","FA",2017,1,4.24,4.24,4.24,"Nosy BeThree_Brothers"
"Madagascar","Nosy Be","Three_Brothers","Post","HC",2017,1,40.25,40.25,40.25,"Nosy BeThree_Brothers"
"Madagascar","Nosy Be","Turtle_towers","Pre","FA",2014,1,2.51,2.51,2.51,"Nosy BeTurtle_towers"
"Madagascar","Nosy Be","Turtle_towers","Pre","HC",2014,1,65.11,65.11,65.11,"Nosy BeTurtle_towers"
