Country,Site,Station,zone,Latitude,Longitude
La Reunion,NA,Trois Chameaux PE,,-21.08126,55.21701
La Reunion,NA,Trois Chameaux PL,,-21.08154,55.22134
Madagascar,NA,007 North,,-22.12369831,43.1969756
Madagascar,NA,007 South,,-22.123698,43.196976
Madagascar,NA,Ambatobe,,-22.00730771,43.20068585
Madagascar,CORDIO,Ambo_Inner,,-12.37121667,49.44038333
Madagascar,CORDIO,Ambo_Outer,,-12.34525833,49.45049167
Madagascar,CORDIO,Ambo_S,,-12.36549167,49.45544167
Madagascar,Vatoharana,Ambodirafia,Pente externe,-15.2756,50.50345
Madagascar,NA,Ampassy,,-22.00269112,43.19999786
Madagascar,NA,Andrivampasy,,-21.94782855,43.19501993
Madagascar,NA,Ankafotia,,-22.19440361,43.15262561
Madagascar,CORDIO,Ankao_NE,,-12.76676667,49.82216667
Madagascar,CORDIO,AnkaoNNE,,-12.79138333,49.81213333
Madagascar,CORDIO,AnkaS,,-12.82805,49.81281667
Madagascar,Ouest,Antrema Mahajanga,Platier,-15.65999,46.16
Madagascar,NA,Bass 3,,-22.01169446,43.19919446
Madagascar,NA,Belamera,,-21.97933068,43.19993122
Madagascar,Ouest sud ouest,Belo sur Mer,Pente externe,-20.69599,43.883
Madagascar,NA,Bevato Ankarambanda,,-21.88308061,43.24805257
Madagascar,NA,Bevato Permanent Reserve,,-21.88308061,43.24805257
Madagascar,NA,Bevato Spillover,,-22.17421629,43.21972962
Madagascar,NA,Bic Cave,,-22.05417671,43.18969131
Madagascar,NA,Christmas Reef,,-22.14002366,43.23218043
Madagascar,NA,Cloisters,,-22.07672202,43.18450375
Madagascar,Nord-Ouest,Dzamandjar,Pente externe,-13.36499,48.173
Madagascar,NA,Fish Bowl,,-21.93786875,43.26135959
Madagascar,Est,Foulpointe,Pente externe,-17.68199921,49.534
Madagascar,NA,Garpy,,-22.11531649,43.21862136
Madagascar,Toamasina,Ile aux Prunes,Pente externe,-18.03653,49.27514
Madagascar,Toamasina,Ile aux Prunes,Platier,-18.02627,49.27642
Madagascar,NA,Javic North,,-22.11835854,43.21718646
Madagascar,NA,Javic South,,-22.07725,43.18555551
Madagascar,CORDIO,Loky_S,,-12.73075833,49.69595
Madagascar,CORDIO,LokyNW,,-12.71310833,49.66636667
Madagascar,NA,Lost,,-22.06792613,43.22631561
Madagascar,NA,Lovobe,,-22.09212729,43.22488306
Madagascar,NA,Mah,,-21.99251021,43.2444346
Madagascar,NA,Mobie,,-21.99251021,43.2444346
Madagascar,NA,NE Nosy Mitata (MOBIE),,-21.87364175,43.26632872
Madagascar,NA,No Bad Reef,,-22.0668012,43.18187392
Madagascar,Toamasina,Nosy Faho,Pente externe,-18.17153,49.24951
Madagascar,Toamasina,Nosy Faho,Platier,-18.18093,49.24594
Madagascar,NA,Nosy Fasy,,-22.07328016,43.22589551
Madagascar,NA,NS Andavadoaka,,-22.08405987,43.22722178
Madagascar,NA,NS Coco Beach ,,-22.07509249,43.22613062
Madagascar,NA,NS Halfmoon,,-22.10399992,43.23333328
Madagascar,NA,NS LagunaBlu,,-22.12230549,43.19822215
Madagascar,NA,Recruitment North,,-22.12255552,43.1983333
Madagascar,NA,Recruitment South,,-21.8721579,43.26597249
Madagascar,NA,Reef Boy - Reef Man,,-22.12988885,43.18130555
Madagascar,NA,Shark Alley,,-22.129889,43.181306
Madagascar,NA,South Reef ,,-22.12789689,43.23072265
Madagascar,NA,South Reef 4,,-22.127897,43.230723
Madagascar,NA,South Reef 6,,-22.21347218,43.22694442
Madagascar,NA,Tampolove North (Kimboro),,-22.21096214,43.22574849
Madagascar,NA,Tampolove South (Balovo),,-22.12336111,43.19819441
Madagascar,Nord-Ouest,Tanikely,Pente externe,-13.48499,48.232
Madagascar,NA,THB North,,-22.1237222,43.19844444
Madagascar,NA,THB South,,-22.123722,43.198444
Madagascar,NA,Unknown,,-22.0796976,43.18170553
Madagascar,NA,Valleys,,-21.9322041,43.23813016
Madagascar,CORDIO,Vohem,,-13.33069167,50.01421667
Madagascar,NA,Vorea,,-21.932204,43.23813
Mauritius,NA,Albion,fore reef,-20.203833,57.401722
Mauritius,,Albion,back reef,-20.203833,57.401722
Mauritius,NA,Albion ALB Lag,back reef,-20.213817,57.402883
Mauritius,NA,Albion ALB Off,fore reef,-20.210722,57.398611
Mauritius,NA,Anse la Raie,back reef,-19.99396,57.637924
Mauritius,,Anse la Raie,shore reef,-19.99396,57.637924
Mauritius,NA,Baie du Tombeau ,back reef,-20.125996,57.494697
Mauritius,NA,Bambous Virieux,back reef,-20.350575,57.766727
Mauritius,,Bambous Virieux,shore reef,-20.350575,57.766727
Mauritius,NA,Bel Ombre,shore reef,-20.506354,57.39642
Mauritius,,Bel Ombre,shore reef,-20.506354,57.39642
Mauritius,NA,Bel Ombre BO Lag1,back reef,-20.502639,57.38925
Mauritius,NA,Bel Ombre BO Lag2,back reef,-20.509111,57.407
Mauritius,NA,Belle Mare BM Lag,back reef,-20.189833,57.781056
Mauritius,NA,Belle Mare l,back reef,-20.18963,57.780272
Mauritius,NA,Belle Mare ll,back reef,-20.18963,57.780272
Mauritius,NA,Eau Bleu,back reef,-20.3465,57.794944
Mauritius,NA,Flic en Flac FEF Lag2,back reef,-20.276972,57.365028
Mauritius,NA,Flic en FlacFEF Lag1,back reef,-20.299472,57.360361
Mauritius,NA,GRSE,back reef,-20.340722,57.793972
Mauritius,NA,Ile aux Aigrettes,back reef,-20.4213,57.728516
Mauritius,NA,Ile aux Benitiers ,back reef,-20.409706,57.324875
Mauritius,,Ile aux Benitiers ,fore reef,-20.406813,57.335755
Mauritius,,Ile aux Benitiers ,shore reef,-20.406813,57.335755
Mauritius,,Ile aux Benitiers IAB Lag,back reef,-20.409706,57.324875
Mauritius,NA,La Prairie,back reef,-20.486944,57.350028
Mauritius,NA,Le Goulet ,fore reef,-20.105514,57.515563
Mauritius,NA,Le Morne Lag1,back reef,-20.460222,57.307472
Mauritius,NA,Le Morne Lag2,back reef,-20.458571,57.306901
Mauritius,NA,Mahebourg,back reef,-20.427833,57.735889
Mauritius,NA,Pointe aux sables,back reef,-20.169672,57.442476
Mauritius,,Pointe aux sables,fore reef,-20.169672,57.442476
Mauritius,NA,Poudre d'Or I,back reef,-20.062674,57.707022
Mauritius,NA,Poudre d'Or Il,back reef,-20.062674,57.707022
Mauritius,NA,Trou aux Biches,fore reef,-20.035119,57.54265
Mauritius,,Trou aux Biches,back reef,-20.035119,57.54265
Mauritius,NA,Trou aux Biches TAB Lag,back reef,-20.023528,57.543917
