Country,Site,Station,Lat,Lon
Madagascar,Nosy Ve,Aquarium,-23.63941667,43.60261111
Madagascar,Nosy Ve,Nord Nosy-ve,-23.61783056,43.58482778
Madagascar,Andokobe,Antsakabaniany,-13.42308333,48.30866667
Madagascar,Sakatia,Ampijoroa,-13.32059722,48.15352778
Madagascar,Ambatozavavy,Ambatomagnoegny,-13.37638889,48.35277778
Madagascar,Nosy Komba,Nosy Vorona,-13.42603889,48.36275278
Kenya,Kilifi,Kuruwitu,-3.9016,39.7931
Kenya,Malindi,Kivulini,-3.2105,40.1462
Mauritius,Anse La Raie Lagoon,Degraded_Coral_1,-19.983,57.63655556
Mauritius,Anse La Raie Lagoon,Degraded_Coral_2,-19.99094444,57.64044444
Mauritius,Anse La Raie Lagoon,Snorkeling_trail,-19.97780556,57.63188889
